#A;#P;Product;Size;Ertrag;Col;Eng;T
4;19;Eisenpulver;105;1113;BL;x;60
4;20;Nägel;105;1548;GR;x;60
4;41;Wolle;105;1113;BL;x;60
4;39;Mehl;105;1563;BL;x;60
4;20;Nägel;105;1563;GR;x;60
4;40;Milch;105;1643;YE;x;60
4;19;Eisenpulver;105;1146;BL;x;60
4;42;Salz;105;1472;GR;x;60
4;23;Stahlblech;105;1815;BL;x;60
4;42;Salz;105;1501;YE;x;60
4;19;Eisenpulver;105;1169;BL;x;60
4;32;Kunststoffmöbel;105;1418;GR;x;60
4;25;Fass;105;1725;PU;x;60
4;19;Eisenpulver;105;1180;GR;x;60
4;20;Nägel;105;1641;GR;x;60
4;7;Bauholz;105;1886;BL;x;60
4;37;Plastik;105;1281;GR;x;60
4;36;Klebstoff;105;1418;PU;x;60
4;41;Wolle;105;1169;GR;x;60
4;19;Eisenpulver;105;1180;GR;x;60
4;7;Bauholz;105;1850;BL;x;60
4;30;Tisch;105;2057;PU;x;60
4;37;Plastik;105;1344;YE;x;60
4;33;Couch;105;1966;YE;x;60
4;19;Eisenpulver;105;1226;YE;x;60
4;41;Wolle;105;1237;GR;x;60
4;22;Kupferdraht;110;2232;YE;x;60
4;27;Palette;110;1664;YE;x;60
4;26;Sperrholz;110;2138;PU;x;60
4;33;Couch;110;2138;GR;x;60
4;30;Tisch;110;2301;GR;x;60
4;21;Sägeblatt;110;1823;PU;x;60
4;30;Tisch;110;2322;PU;x;60
4;27;Palette;110;1711;PU;x;60
4;42;Salz;110;1759;PU;x;60
