#A;#P;Product;Size;Ertrag;Col;Eng;T
1;32;Kunststoffmöbel;200;2663;GR;x;60
2;33;Couch;168;2855;YE;x;60
3;32;Kunststoffmöbel;238;3090;PU;x;60
2;33;Couch;185;3175;GR;x;60
3;7;Bauholz;198;3356;PU;x;60
1;20;Nägel;228;3534;GR;x;60
1;30;Tisch;163;3090;GR;x;60
1;33;Couch;236;4202;GR;x;60
3;37;Plastik;229;2765;YE;x;60
2;6;Stahl;187;2113;GR;x;60
3;32;Kunststoffmöbel;250;3342;GR;x;60
1;20;Nägel;236;3730;YE;x;60
1;37;Plastik;204;2611;GR;x;60
3;37;Plastik;223;2772;PU;x;60
1;6;Stahl;212;2570;PU;x;60
2;36;Klebstoff;198;2699;YE;x;60
2;7;Bauholz;219;3785;YE;x;60
1;21;Sägeblatt;189;2942;GR;x;60
3;29;Stuhl;187;2894;PU;x;60
2;42;Salz;200;2858;YE;x;60
1;26;Sperrholz;183;3355;GR;x;60
3;27;Palette;221;3100;PU;x;60
1;27;Palette;183;2682;YE;x;60
2;19;Eisenpulver;232;2631;YE;x;60
1;17;Kupfer ;232;3961;PU;x;60
1;21;Sägeblatt;193;3062;GR;x;60
3;41;Wolle;250;2836;BL;x;60
1;40;Milch;195;3330;GR;x;60
2;26;Sperrholz;194;3563;PU;x;60
3;35;Benzin;250;5507;GR;x;60
1;27;Palette;183;2708;PU;x;60
1;31;Kleiderschrank;223;4786;PU;x;60
1;29;Stuhl;179;3101;BL;x;60
3;22;Kupferdraht;192;3718;GR;x;60
1;23;Stahlblech;222;4137;BL;x;60
3;36;Klebstoff;252;3568;BL;x;60
3;29;Stuhl;168;2727;PU;x;60
3;6;Stahl;189;2284;PU;x;60
1;36;Klebstoff;234;3432;GR;x;60
1;27;Palette;177;2695;YE;x;60
3;29;Stuhl;219;3588;BL;x;60
3;32;Kunststoffmöbel;183;2615;GR;x;60
2;23;Stahlblech;173;3227;PU;x;60
3;27;Palette;213;3163;YE;x;60
2;31;Kleiderschrank;244;5009;PU;x;60
1;41;Wolle;191;2392;GR;x;60
3;19;Eisenpulver;220;2640;PU;x;60
1;39;Mehl;200;3475;GR;x;60
1;40;Milch;180;3283;GR;x;60
2;17;Kupfer ;200;3542;BL;x;60
2;22;Kupferdraht;180;3686;GR;x;60
1;19;Eisenpulver;220;2807;PU;x;60
3;39;Mehl;210;3571;PU;x;60
3;31;Kleiderschrank;200;4221;PU;x;60
3;21;Sägeblatt;190;3207;GR;x;60
2;40;Milch;240;4369;BL;x;60
2;26;Sperrholz;250;4994;BL;x;60
3;32;Kunststoffmöbel;210;3173;GR;x;60
